"Compound","Dose","Cell line","DepMap ID","Culture","Pool","Vehicle","log2 fold-change","Viability"
"AZ-628","0.1235","RH30_SOFT_TISSUE","ACH-000833","PR500","P105","DMSO","-0.667","0.63"
"AZ-628","0.1235","RT112_URINARY_TRACT","ACH-000473","PR500","P112","DMSO","-0.667","0.63"
"AZ-628","0.004572","NCIH1437_LUNG","ACH-000589","PR500","P107","DMSO","-0.666","0.63"
"AZ-628","0.004572","CAOV3_OVARY","ACH-000713","PR500","P119","DMSO","-0.667","0.63"
"AZ-628","0.004572","OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000124","PR300","P953.PRN.2","DMSO","-0.666","0.63"
"AZ-628","0.004572","KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000564","PR300","P954.PRN.2","DMSO","-0.667","0.63"
"AZ-628","10.0","2313287_STOMACH","ACH-000948","PR500","P117","DMSO","-0.665","0.631"
"AZ-628","3.333","H103_UPPER_AERODIGESTIVE_TRACT","ACH-001346","PR300","P121","DMSO","-0.663","0.631"
"AZ-628","3.333","T84_LARGE_INTESTINE","ACH-000381","PR300","P949.PRN3","DMSO","-0.663","0.631"
"AZ-628","0.3704","KMCH1_BILIARY_TRACT","ACH-001853","PR300","P124","DMSO","-0.664","0.631"
"AZ-628","0.04115","IPC298_SKIN","ACH-000915","PR500","P118","DMSO","-0.665","0.631"
"AZ-628","0.004572","NCIH1568_LUNG","ACH-000869","PR500","P115","DMSO","-0.665","0.631"
"AZ-628","10.0","OE19_OESOPHAGUS","ACH-000679","PR500","P111","DMSO","-0.662","0.632"
"AZ-628","0.1235","SNU407_LARGE_INTESTINE","ACH-000955","PR500","P108","DMSO","-0.662","0.632"
"AZ-628","1.111","NUGC4_STOMACH","ACH-000674","PR500","P106","DMSO","-0.66","0.633"
"AZ-628","3.333","SNU61_LARGE_INTESTINE","ACH-000532","PR500","P103","DMSO","-0.66","0.633"
"AZ-628","0.1235","SNU61_LARGE_INTESTINE","ACH-000532","PR500","P103","DMSO","-0.659","0.633"
"AZ-628","0.004572","YD38_UPPER_AERODIGESTIVE_TRACT","ACH-000762","PR500","P102","DMSO","-0.659","0.633"
"AZ-628","0.004572","SW480_LARGE_INTESTINE","ACH-000842","PR500","P108","DMSO","-0.659","0.633"
"AZ-628","0.004572","CL34_LARGE_INTESTINE","ACH-000895","PR500","P115","DMSO","-0.66","0.633"
"AZ-628","0.004572","NCIH2087_LUNG","ACH-000841","PR500","P115","DMSO","-0.66","0.633"
"AZ-628","3.333","SKGI_ENDOMETRIUM","ACH-001651","PR300","P124","DMSO","-0.658","0.634"
"AZ-628","0.1235","NCIH460_LUNG","ACH-000463","PR500","P102","DMSO","-0.658","0.634"
"AZ-628","1.111","MMNK1_BILIARY_TRACT","ACH-001854","PR300","P122","DMSO","-0.654","0.635"
"AZ-628","3.333","SNU1079_BILIARY_TRACT","ACH-000209","PR500","P119","DMSO","-0.655","0.635"
"AZ-628","0.1235","CHLA06ATRT_SOFT_TISSUE","ACH-001028","PR300","P945.PRN3","DMSO","-0.655","0.635"
"AZ-628","0.004572","HT1376_URINARY_TRACT","ACH-000724","PR500","P117","DMSO","-0.655","0.635"
"AZ-628","10.0","NB1_AUTONOMIC_GANGLIA","ACH-000804","PR500","P105","DMSO","-0.652","0.636"
"AZ-628","0.004572","BICR78_UPPER_AERODIGESTIVE_TRACT","ACH-001332","PR300","P123","DMSO","-0.652","0.636"
"AZ-628","10.0","TGBC18TKB_LARGE_INTESTINE","ACH-002023","PR300","P125","DMSO","-0.651","0.637"
"AZ-628","1.111","HEC6_ENDOMETRIUM","ACH-000984","PR500","P118","DMSO","-0.65","0.637"
"AZ-628","3.333","G361_SKIN","ACH-000572","PR500","P101","DMSO","-0.65","0.637"
"AZ-628","3.333","NCIH2004RT_SOFT_TISSUE","ACH-000533","PR300","P946.PRN3","DMSO","-0.651","0.637"
"AZ-628","0.1235","ONDA9_CENTRAL_NERVOUS_SYSTEM","ACH-001624","PR300","P121","DMSO","-0.65","0.637"
"AZ-628","0.004572","BC3C_URINARY_TRACT","ACH-000593","PR500","P105","DMSO","-0.652","0.637"
"AZ-628","0.004572","MEL290_UVEA","ACH-002016","PR300","P126","DMSO","-0.651","0.637"
"AZ-628","0.004572","C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000206","PR300","P951.PRN.2","DMSO","-0.65","0.637"
"AZ-628","10.0","CCLP1_BILIARY_TRACT","ACH-001959","PR300","P122","DMSO","-0.648","0.638"
"AZ-628","1.111","TTC549_SOFT_TISSUE","ACH-001211","PR300","P944.PRN3","DMSO","-0.649","0.638"
"AZ-628","3.333","SJSA1_BONE","ACH-000748","PR500","P102","DMSO","-0.649","0.638"
"AZ-628","3.333","HT3_CERVIX","ACH-001525","PR300","P123","DMSO","-0.649","0.638"
"AZ-628","0.1235","IHH4_THYROID","ACH-001528","PR300","P121","DMSO","-0.648","0.638"
"AZ-628","0.004572","UACC257_SKIN","ACH-000579","PR500","P118","DMSO","-0.649","0.638"
"AZ-628","0.004572","HS729_SOFT_TISSUE","ACH-000133","PR300","P945.PRN3","DMSO","-0.649","0.638"
"AZ-628","0.004572","TE617T_SOFT_TISSUE","ACH-000051","PR300","P945.PRN3","DMSO","-0.648","0.638"
"AZ-628","0.004572","UW228_CENTRAL_NERVOUS_SYSTEM","ACH-001232","PR300","P946.PRN3","DMSO","-0.648","0.638"
"AZ-628","10.0","PECAPJ15_UPPER_AERODIGESTIVE_TRACT","ACH-000619","PR500","P103","DMSO","-0.647","0.639"
"AZ-628","10.0","SUM159PT_BREAST","ACH-001391","PR300","P121","DMSO","-0.645","0.639"
"AZ-628","1.111","CCLP1_BILIARY_TRACT","ACH-001959","PR300","P122","DMSO","-0.646","0.639"
"AZ-628","1.111","HSC1_SKIN","ACH-001523","PR300","P124","DMSO","-0.646","0.639"
"AZ-628","3.333","GB2_BILIARY_TRACT","ACH-001961","PR300","P124","DMSO","-0.645","0.639"
"AZ-628","3.333","KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001106","PR300","P950.PRN.2","DMSO","-0.646","0.639"
"AZ-628","0.3704","DETROIT562_UPPER_AERODIGESTIVE_TRACT","ACH-000207","PR500","P116","DMSO","-0.647","0.639"
"AZ-628","0.01372","CADOES1_BONE","ACH-000210","PR300","P945.PRN3","DMSO","-0.646","0.639"
"AZ-628","0.004572","K029AX_SKIN","ACH-000404","PR500","P112","DMSO","-0.646","0.639"
"AZ-628","0.004572","HEC151_ENDOMETRIUM","ACH-000972","PR500","P113","DMSO","-0.647","0.639"
"AZ-628","10.0","HCC4006_LUNG","ACH-000066","PR500","P106","DMSO","-0.644","0.64"
"AZ-628","3.333","2313287_STOMACH","ACH-000948","PR500","P117","DMSO","-0.644","0.64"
"AZ-628","0.1235","PEDS005TSUSP_KIDNEY","ACH-001316","PR300","P944.PRN3","DMSO","-0.643","0.64"
"AZ-628","0.04115","OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000751","PR300","P950.PRN.2","DMSO","-0.643","0.64"
"AZ-628","0.004572","EFO27_OVARY","ACH-000936","PR500","P102","DMSO","-0.644","0.64"
"AZ-628","0.004572","SNU1066_UPPER_AERODIGESTIVE_TRACT","ACH-000682","PR500","P105","DMSO","-0.645","0.64"
"AZ-628","0.004572","JHH5_LIVER","ACH-000734","PR500","P109","DMSO","-0.645","0.64"
"AZ-628","10.0","CORL105_LUNG","ACH-000161","PR500","P112","DMSO","-0.641","0.641"
"AZ-628","10.0","NCIH292_LUNG","ACH-001075","PR500","P113","DMSO","-0.642","0.641"
"AZ-628","10.0","TTC642_SOFT_TISSUE","ACH-001212","PR300","P944.PRN3","DMSO","-0.642","0.641"
"AZ-628","1.111","HLF_LIVER","ACH-000393","PR500","P101","DMSO","-0.642","0.641"
"AZ-628","0.3704","KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000983","PR300","P953.PRN.2","DMSO","-0.641","0.641"
"AZ-628","0.004572","YD10B_UPPER_AERODIGESTIVE_TRACT","ACH-000723","PR500","P101","DMSO","-0.642","0.641"
"AZ-628","0.004572","PATU8988T_PANCREAS","ACH-000023","PR500","P104","DMSO","-0.642","0.641"
"AZ-628","0.004572","NCIH2347_LUNG","ACH-000875","PR500","P119","DMSO","-0.642","0.641"
"AZ-628","0.004572","NP5_CENTRAL_NERVOUS_SYSTEM","ACH-001610","PR300","P121","DMSO","-0.643","0.641"
"AZ-628","0.004572","CW2_LARGE_INTESTINE","ACH-000998","PR300","P946.PRN3","DMSO","-0.642","0.641"
"AZ-628","10.0","TE8_OESOPHAGUS","ACH-000452","PR500","P104","DMSO","-0.639","0.642"
"AZ-628","10.0","MFE296_ENDOMETRIUM","ACH-000879","PR500","P105","DMSO","-0.639","0.642"
"AZ-628","10.0","HCC827_LUNG","ACH-000012","PR500","P107","DMSO","-0.638","0.642"
"AZ-628","10.0","RCC10RGB_KIDNEY","ACH-000189","PR500","P119","DMSO","-0.638","0.642"
"AZ-628","0.04115","OCIP5X_OVARY","ACH-001370","PR300","P125","DMSO","-0.64","0.642"
"AZ-628","0.004572","T98G_CENTRAL_NERVOUS_SYSTEM","ACH-000571","PR500","P109","DMSO","-0.64","0.642"
"AZ-628","1.111","SNU46_UPPER_AERODIGESTIVE_TRACT","ACH-000500","PR500","P120","DMSO","-0.637","0.643"
"AZ-628","3.333","SBC5_LUNG","ACH-000670","PR500","P102","DMSO","-0.637","0.643"
"AZ-628","3.333","SF126_CENTRAL_NERVOUS_SYSTEM","ACH-000609","PR500","P105","DMSO","-0.637","0.643"
"AZ-628","0.01372","RD_SOFT_TISSUE","ACH-000169","PR500","P115","DMSO","-0.637","0.643"
"AZ-628","0.004572","HS944T_SKIN","ACH-000632","PR500","P105","DMSO","-0.638","0.643"
"AZ-628","0.004572","MM127_SKIN","ACH-001563","PR300","P124","DMSO","-0.638","0.643"
"AZ-628","0.004572","M059K_CENTRAL_NERVOUS_SYSTEM","ACH-000152","PR300","P947.PRN3","DMSO","-0.638","0.643"
"AZ-628","3.333","1777NRPMET_TESTIS","ACH-001438","PR300","P121","DMSO","-0.636","0.644"
"AZ-628","3.333","HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000069","PR300","P955.PRN.2","DMSO","-0.634","0.644"
"AZ-628","0.004572","HOS_BONE","ACH-000613","PR500","P113","DMSO","-0.636","0.644"
"AZ-628","0.004572","U343_CENTRAL_NERVOUS_SYSTEM","ACH-000036","PR300","P947.PRN3","DMSO","-0.636","0.644"
"AZ-628","10.0","SNB75_CENTRAL_NERVOUS_SYSTEM","ACH-000504","PR500","P110","DMSO","-0.632","0.645"
"AZ-628","1.111","MOLM14_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001574","PR300","P954.PRN.2","DMSO","-0.633","0.645"
"AZ-628","3.333","HCC515_LUNG","ACH-000872","PR300","P949.PRN3","DMSO","-0.632","0.645"
"AZ-628","0.1235","PACADD161_PANCREAS","ACH-001379","PR300","P121","DMSO","-0.632","0.645"
"AZ-628","0.1235","TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000387","PR300","P951.PRN.2","DMSO","-0.632","0.645"
"AZ-628","0.01372","MKN1_STOMACH","ACH-000351","PR500","P106","DMSO","-0.632","0.645"
"AZ-628","0.004572","HCT116_LARGE_INTESTINE","ACH-000971","PR500","P104","DMSO","-0.633","0.645"
"AZ-628","0.004572","KYSE180_OESOPHAGUS","ACH-000693","PR500","P106","DMSO","-0.632","0.645"
"AZ-628","0.004572","MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000583","PR300","P951.PRN.2","DMSO","-0.632","0.645"
"AZ-628","0.004572","UMRC7_KIDNEY","ACH-001688","PR300","P126","DMSO","-0.631","0.646"
"AZ-628","0.004572","SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000782","PR300","P953.PRN.2","DMSO","-0.629","0.646"
"AZ-628","1.111","THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000146","PR300","P954.PRN.2","DMSO","-0.628","0.647"
"AZ-628","3.333","HOS_BONE","ACH-000613","PR300","P944.PRN3","DMSO","-0.629","0.647"
"AZ-628","0.3704","OCILY18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001616","PR300","P953.PRN.2","DMSO","-0.628","0.647"
"AZ-628","10.0","UW228_CENTRAL_NERVOUS_SYSTEM","ACH-001232","PR300","P946.PRN3","DMSO","-0.626","0.648"
"AZ-628","1.111","ICC4_BILIARY_TRACT","ACH-001844","PR300","P124","DMSO","-0.627","0.648"
"AZ-628","3.333","RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000371","PR300","P952.PRN.2","DMSO","-0.626","0.648"
"AZ-628","0.1235","TM87_SOFT_TISSUE","ACH-000172","PR500","P116","DMSO","-0.627","0.648"
"AZ-628","0.3704","RERFLCAD1_LUNG","ACH-000791","PR500","P119","DMSO","-0.625","0.648"
"AZ-628","10.0","SNU308_BILIARY_TRACT","ACH-000141","PR500","P118","DMSO","-0.624","0.649"
"AZ-628","10.0","UMUC10_URINARY_TRACT","ACH-001412","PR300","P121","DMSO","-0.623","0.649"
"AZ-628","1.111","AM38_CENTRAL_NERVOUS_SYSTEM","ACH-000269","PR300","P956.PRN.2","DMSO","-0.624","0.649"
"AZ-628","1.111","CAL148_BREAST","ACH-000902","PR300","P956.PRN.2","DMSO","-0.624","0.649"
"AZ-628","3.333","C4I_CERVIX","ACH-001334","PR300","P123","DMSO","-0.625","0.649"
"AZ-628","3.333","UMUC13_URINARY_TRACT","ACH-001407","PR300","P124","DMSO","-0.624","0.649"
"AZ-628","0.3704","SW948_LARGE_INTESTINE","ACH-000680","PR500","P111","DMSO","-0.624","0.649"
"AZ-628","0.004572","MCAS_OVARY","ACH-000796","PR500","P104","DMSO","-0.624","0.649"
"AZ-628","0.004572","SNU1041_UPPER_AERODIGESTIVE_TRACT","ACH-000618","PR500","P118","DMSO","-0.624","0.649"
"AZ-628","0.004572","SW13_ADRENAL_CORTEX","ACH-001401","PR300","P121","DMSO","-0.623","0.649"
"AZ-628","10.0","COV362_OVARY","ACH-000278","PR500","P120","DMSO","-0.621","0.65"
"AZ-628","3.333","MESSA_SOFT_TISSUE","ACH-000449","PR500","P107","DMSO","-0.621","0.65"
"AZ-628","3.333","ICC9_BILIARY_TRACT","ACH-001849","PR300","P122","DMSO","-0.622","0.65"
"AZ-628","3.333","HUO9_BONE","ACH-001526","PR300","P126","DMSO","-0.622","0.65"
"AZ-628","3.333","BICR18_UPPER_AERODIGESTIVE_TRACT","ACH-000992","PR300","P946.PRN3","DMSO","-0.622","0.65"
"AZ-628","0.01372","A375_SKIN","ACH-000219","PR500","P102","DMSO","-0.621","0.65"
"AZ-628","0.01372","JHUEM7_ENDOMETRIUM","ACH-000993","PR300","P956.PRN.2","DMSO","-0.621","0.65"
"AZ-628","0.004572","KYSE450_OESOPHAGUS","ACH-000865","PR300","P947.PRN3","DMSO","-0.621","0.65"
"AZ-628","10.0","639V_URINARY_TRACT","ACH-000973","PR500","P104","DMSO","-0.62","0.651"
"AZ-628","10.0","SW1116_LARGE_INTESTINE","ACH-000489","PR300","P948.PRN3","DMSO","-0.62","0.651"
"AZ-628","3.333","OC314_OVARY","ACH-000962","PR500","P109","DMSO","-0.618","0.651"
"AZ-628","3.333","MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000964","PR300","P953.PRN.2","DMSO","-0.62","0.651"
"AZ-628","0.04115","SKMEL28_SKIN","ACH-000615","PR300","P947.PRN3","DMSO","-0.62","0.651"
"AZ-628","0.004572","NUGC4_STOMACH","ACH-000674","PR500","P106","DMSO","-0.619","0.651"
"AZ-628","0.004572","ECC2_BILIARY_TRACT","ACH-001997","PR300","P123","DMSO","-0.62","0.651"
"AZ-628","0.004572","KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001106","PR300","P950.PRN.2","DMSO","-0.618","0.651"
"AZ-628","1.111","OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000124","PR300","P953.PRN.2","DMSO","-0.618","0.652"
"AZ-628","0.004572","HDQP1_BREAST","ACH-000643","PR500","P116","DMSO","-0.618","0.652"
"AZ-628","0.004572","KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000576","PR300","P951.PRN.2","DMSO","-0.616","0.652"
"AZ-628","0.004572","NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000294","PR300","P954.PRN.2","DMSO","-0.618","0.652"
"AZ-628","3.333","KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000564","PR300","P954.PRN.2","DMSO","-0.615","0.653"
"AZ-628","0.1235","ONS76_CENTRAL_NERVOUS_SYSTEM","ACH-000776","PR300","P945.PRN3","DMSO","-0.615","0.653"
"AZ-628","0.004572","LXF289_LUNG","ACH-000787","PR500","P110","DMSO","-0.615","0.653"
"AZ-628","0.004572","SNU216_STOMACH","ACH-000466","PR300","P947.PRN3","DMSO","-0.614","0.653"
"AZ-628","0.004572","A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000697","PR300","P950.PRN.2","DMSO","-0.614","0.653"
"AZ-628","10.0","SQ1_LUNG","ACH-000553","PR500","P119","DMSO","-0.612","0.654"
"AZ-628","3.333","PANC0327_PANCREAS","ACH-000139","PR500","P120","DMSO","-0.613","0.654"
"AZ-628","0.1235","SMSCTR_SOFT_TISSUE","ACH-001196","PR300","P945.PRN3","DMSO","-0.613","0.654"
"AZ-628","0.004572","NCIH2009_LUNG","ACH-000886","PR500","P110","DMSO","-0.613","0.654"
"AZ-628","0.004572","MDAMB436_BREAST","ACH-000573","PR500","P113","DMSO","-0.612","0.654"
"AZ-628","0.004572","SNU1544_LARGE_INTESTINE","ACH-001786","PR300","P126","DMSO","-0.612","0.654"
"AZ-628","3.333","SH10TC_STOMACH","ACH-000764","PR500","P119","DMSO","-0.61","0.655"
"AZ-628","0.1235","921_UVEA","ACH-001441","PR300","P124","DMSO","-0.61","0.655"
"AZ-628","0.1235","PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000218","PR300","P953.PRN.2","DMSO","-0.611","0.655"
"AZ-628","0.3704","SUM149PT_BREAST","ACH-001390","PR300","P124","DMSO","-0.61","0.655"
"AZ-628","0.3704","IGR39_SKIN","ACH-000550","PR300","P947.PRN3","DMSO","-0.61","0.655"
"AZ-628","0.004572","DAOY_CENTRAL_NERVOUS_SYSTEM","ACH-000211","PR500","P102","DMSO","-0.611","0.655"
"AZ-628","10.0","A498_KIDNEY","ACH-000555","PR300","P947.PRN3","DMSO","-0.608","0.656"
"AZ-628","3.333","BECKER_CENTRAL_NERVOUS_SYSTEM","ACH-001016","PR500","P103","DMSO","-0.608","0.656"
"AZ-628","3.333","BHY_UPPER_AERODIGESTIVE_TRACT","ACH-000548","PR300","P949.PRN3","DMSO","-0.608","0.656"
"AZ-628","0.3704","ICC8_BILIARY_TRACT","ACH-001848","PR300","P125","DMSO","-0.607","0.656"
"AZ-628","0.004572","HS766T_PANCREAS","ACH-000178","PR500","P108","DMSO","-0.609","0.656"
"AZ-628","3.333","HUG1N_STOMACH","ACH-000239","PR300","P953.PRN.2","DMSO","-0.606","0.657"
"AZ-628","0.1235","SKMEL5_SKIN","ACH-000730","PR500","P120","DMSO","-0.605","0.657"
"AZ-628","0.1235","MM127_SKIN","ACH-001563","PR300","P124","DMSO","-0.606","0.657"
"AZ-628","0.1235","KKU100_BILIARY_TRACT","ACH-001536","PR300","P126","DMSO","-0.606","0.657"
"AZ-628","0.1235","HPAFII_PANCREAS","ACH-000094","PR300","P949.PRN3","DMSO","-0.607","0.657"
"AZ-628","10.0","KALS1_CENTRAL_NERVOUS_SYSTEM","ACH-000231","PR500","P117","DMSO","-0.603","0.658"
"AZ-628","3.333","KYSE180_OESOPHAGUS","ACH-000693","PR500","P106","DMSO","-0.603","0.658"
"AZ-628","0.3704","HOS_BONE","ACH-000613","PR500","P113","DMSO","-0.605","0.658"
"AZ-628","0.3704","143B_BONE","ACH-001001","PR300","P945.PRN3","DMSO","-0.604","0.658"
"AZ-628","0.3704","HEPG2_LIVER","ACH-000739","PR300","P948.PRN3","DMSO","-0.604","0.658"
"AZ-628","3.333","SIMA_AUTONOMIC_GANGLIA","ACH-000099","PR500","P113","DMSO","-0.602","0.659"
"AZ-628","3.333","HUH1_LIVER","ACH-000475","PR300","P947.PRN3","DMSO","-0.601","0.659"
"AZ-628","0.3704","MB1_THYROID","ACH-001356","PR300","P126","DMSO","-0.601","0.659"
"AZ-628","0.004572","GCT_SOFT_TISSUE","ACH-000835","PR500","P112","DMSO","-0.601","0.659"
"AZ-628","1.111","SNUC2A_LARGE_INTESTINE","ACH-000967","PR500","P107","DMSO","-0.60","0.66"
"AZ-628","0.1235","BT16_SOFT_TISSUE","ACH-001020","PR300","P946.PRN3","DMSO","-0.599","0.66"
"AZ-628","0.1235","NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000294","PR300","P954.PRN.2","DMSO","-0.599","0.66"
"AZ-628","0.004572","SUM159PT_BREAST","ACH-001391","PR300","P121","DMSO","-0.599","0.66"
"AZ-628","0.004572","TTC549_SOFT_TISSUE","ACH-001211","PR300","P944.PRN3","DMSO","-0.599","0.66"
"AZ-628","10.0","MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000763","PR300","P953.PRN.2","DMSO","-0.598","0.661"
"AZ-628","0.3704","639V_URINARY_TRACT","ACH-000973","PR500","P104","DMSO","-0.597","0.661"
"AZ-628","0.004572","DV90_LUNG","ACH-000925","PR500","P111","DMSO","-0.597","0.661"
"AZ-628","0.004572","NOZ_LIVER","ACH-001607","PR300","P123","DMSO","-0.596","0.661"
"AZ-628","0.004572","MP41_UVEA","ACH-002010","PR300","P125","DMSO","-0.598","0.661"
"AZ-628","0.01372","SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000373","PR300","P951.PRN.2","DMSO","-0.596","0.662"
"AZ-628","0.004572","A101D_SKIN","ACH-000008","PR500","P103","DMSO","-0.595","0.662"
"AZ-628","0.004572","TOV21G_OVARY","ACH-000885","PR500","P114","DMSO","-0.596","0.662"
"AZ-628","0.004572","UMUC5_URINARY_TRACT","ACH-001411","PR300","P122","DMSO","-0.595","0.662"
"AZ-628","10.0","KYSE150_OESOPHAGUS","ACH-000855","PR500","P105","DMSO","-0.593","0.663"
"AZ-628","0.1235","COGN278_AUTONOMIC_GANGLIA","ACH-001301","PR300","P946.PRN3","DMSO","-0.593","0.663"
"AZ-628","0.3704","ONS76_CENTRAL_NERVOUS_SYSTEM","ACH-000776","PR300","P945.PRN3","DMSO","-0.593","0.663"
"AZ-628","1.111","SW1088_CENTRAL_NERVOUS_SYSTEM","ACH-000437","PR500","P116","DMSO","-0.591","0.664"
"AZ-628","0.1235","RCM1_LARGE_INTESTINE","ACH-000565","PR500","P119","DMSO","-0.59","0.664"
"AZ-628","0.1235","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000076","PR300","P953.PRN.2","DMSO","-0.59","0.664"
"AZ-628","0.004572","A2780_OVARY","ACH-000657","PR500","P101","DMSO","-0.591","0.664"
"AZ-628","0.004572","SAOS2_BONE","ACH-000410","PR300","P945.PRN3","DMSO","-0.59","0.664"
"AZ-628","0.1235","CCLP1_BILIARY_TRACT","ACH-001959","PR300","P122","DMSO","-0.588","0.665"
"AZ-628","0.3704","NCIH1703_LUNG","ACH-000747","PR500","P111","DMSO","-0.588","0.665"
"AZ-628","0.04115","UACC62_SKIN","ACH-000425","PR500","P120","DMSO","-0.59","0.665"
"AZ-628","10.0","RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001638","PR300","P952.PRN.2","DMSO","-0.587","0.666"
"AZ-628","1.111","KATOIII_STOMACH","ACH-000793","PR300","P956.PRN.2","DMSO","-0.586","0.666"
"AZ-628","3.333","ECGI10_OESOPHAGUS","ACH-000305","PR500","P110","DMSO","-0.587","0.666"
"AZ-628","3.333","SKGT2_STOMACH","ACH-001653","PR300","P126","DMSO","-0.586","0.666"
"AZ-628","3.333","OCIC4P_OVARY","ACH-001719","PR300","P126","DMSO","-0.587","0.666"
"AZ-628","0.1235","SF295_CENTRAL_NERVOUS_SYSTEM","ACH-000376","PR500","P101","DMSO","-0.585","0.666"
"AZ-628","0.3704","SW756_CERVIX","ACH-001402","PR300","P124","DMSO","-0.587","0.666"
"AZ-628","0.04115","KON_UPPER_AERODIGESTIVE_TRACT","ACH-001542","PR300","P122","DMSO","-0.587","0.666"
"AZ-628","0.004572","NCIH1373_LUNG","ACH-000845","PR500","P113","DMSO","-0.585","0.666"
"AZ-628","1.111","KYSE70_OESOPHAGUS","ACH-000784","PR500","P101","DMSO","-0.585","0.667"
"AZ-628","1.111","VMCUB1_URINARY_TRACT","ACH-000545","PR500","P102","DMSO","-0.584","0.667"
"AZ-628","1.111","PK1_PANCREAS","ACH-000307","PR500","P106","DMSO","-0.584","0.667"
"AZ-628","1.111","HCC1419_BREAST","ACH-000277","PR500","P115","DMSO","-0.585","0.667"
"AZ-628","0.1235","JHH5_LIVER","ACH-000734","PR500","P109","DMSO","-0.584","0.667"
"AZ-628","0.3704","HT3_CERVIX","ACH-001525","PR300","P123","DMSO","-0.585","0.667"
"AZ-628","0.3704","MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000362","PR300","P950.PRN.2","DMSO","-0.585","0.667"
"AZ-628","0.004572","OVK18_OVARY","ACH-000947","PR500","P102","DMSO","-0.584","0.667"
"AZ-628","0.004572","LS411N_LARGE_INTESTINE","ACH-000985","PR500","P111","DMSO","-0.585","0.667"
"AZ-628","0.004572","IALM_LUNG","ACH-000672","PR500","P119","DMSO","-0.583","0.667"
"AZ-628","0.004572","HCA1_CERVIX","ACH-001513","PR300","P123","DMSO","-0.583","0.667"
"AZ-628","3.333","JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000653","PR300","P951.PRN.2","DMSO","-0.583","0.668"
"AZ-628","0.1235","MDAMB361_BREAST","ACH-000934","PR300","P949.PRN3","DMSO","-0.583","0.668"
"AZ-628","0.3704","HUH6_LIVER","ACH-000671","PR500","P114","DMSO","-0.582","0.668"
"AZ-628","0.01372","GCT_SOFT_TISSUE","ACH-000835","PR500","P112","DMSO","-0.582","0.668"
"AZ-628","0.04115","IGR39_SKIN","ACH-000550","PR300","P947.PRN3","DMSO","-0.583","0.668"
"AZ-628","0.004572","ISHIKAWAHERAKLIO02ER_ENDOMETRIUM","ACH-000961","PR500","P101","DMSO","-0.582","0.668"
"AZ-628","1.111","NCIH1573_LUNG","ACH-000916","PR500","P106","DMSO","-0.58","0.669"
"AZ-628","3.333","A172_CENTRAL_NERVOUS_SYSTEM","ACH-000558","PR500","P105","DMSO","-0.579","0.669"
"AZ-628","3.333","SNU407_LARGE_INTESTINE","ACH-000955","PR500","P108","DMSO","-0.58","0.669"
"AZ-628","3.333","HUPT3_PANCREAS","ACH-000118","PR500","P117","DMSO","-0.58","0.669"
"AZ-628","0.004572","TT2609C02_THYROID","ACH-000716","PR500","P103","DMSO","-0.58","0.669"
"AZ-628","0.004572","TE1_OESOPHAGUS","ACH-000647","PR500","P114","DMSO","-0.58","0.669"
"AZ-628","0.004572","ZR751_BREAST","ACH-000097","PR500","P115","DMSO","-0.58","0.669"
